"","Depth","Day","Mesocosm","total_L","Class","Compound"
"4075",2,24,8,7.41074090119205,"PE","PE-DAG-34:2"
"4076",2,24,8,16.164833052767,"PE","PE-DAG-32:1"
"4077",2,24,8,7.73135168551029,"PE","PE-DAG-32:3"
"4078",2,24,8,2.74775539062142,"PE","PE-DAG-34:1"
"4079",2,24,8,91.8023151012111,"PE","PE-DAG-30:0"
"4080",2,24,8,22.4923034029537,"PE","PE-DAG-28:0"
"4081",2,24,8,19.8328993618976,"PE","PE-DAG-32:0"
"4082",2,24,8,10.5390955888016,"PE","PE-DAG-32:2"
"4083",2,24,8,5.72512938091283,"PE","PE-DAG-30:1"
"4084",2,24,8,6.33789629736029,"PG","PG-DAG-36:5"
"4085",2,24,8,119.044671109279,"PG","PG-DAG-36:1"
"4086",2,24,8,9.51826290512816,"PG","PG-DAG-30:1"
"4087",2,24,8,100.438960674332,"PG","PG-DAG-32:1"
"4088",2,24,8,177.354112565266,"PG","PG-DAG-34:1"
"4089",2,24,8,1250.11189739986,"PG","PG-DAG-32:0"
"4090",2,24,8,87.6675684882105,"PG","PG-DAG-36:2"
"4091",2,24,8,880.009806356388,"PG","PG-DAG-30:0"
"4092",2,24,8,230.150941427567,"PG","PG-DAG-34:3"
"4093",2,24,8,123.326970453513,"PG","PG-DAG-34:2"
"4094",2,24,8,2.0113083660463,"SQ","SQDG-32:2"
"4095",2,24,8,137.934325729788,"SQ","SQDG-34:3"
"4096",2,24,8,3.25780112725285,"SQ","SQDG-34:1"
"4097",2,24,8,1009.67464347118,"SQ","SQDG-32:0"
"4098",2,24,8,0.802000035284112,"SQ","SQDG-30:1"
"4099",2,24,8,2.44660247592421,"SQ","SQDG-34:2"
"4100",2,24,8,6.25657289696243,"SQ","SQDG-26:0"
"4101",2,24,8,158.443500420777,"SQ","SQDG-34:0"
"4102",2,24,8,0.791769155593684,"SQ","SQDG-34:4"
"4103",2,24,8,11.7443846480386,"SQ","SQDG-38:3"
"4104",2,24,8,69.7017675536972,"SQ","SQDG-36:0"
"4105",2,24,8,2.13217496938456,"SQ","SQDG-44:12"
"4106",2,24,8,114.409633658834,"SQ","SQDG-28:0"
"4107",2,24,8,772.00644515383,"SQ","SQDG-30:0"
"4108",2,10,9,0.644221942602211,"MGDG","MGDG-30:2"
"4109",2,10,9,2.70022035912923,"PE","PE-DAG-34:2"
"4110",2,10,9,0.776386638631592,"PG","PG-DAG-34:3"
"4111",2,10,9,3.30312361537767,"PG","PG-DAG-36:5"
"4112",2,10,9,1.28932023291513,"SQ","SQDG-30:1"
"4113",1,12,5,0.635291575280648,"BL","DGTS-34:1"
"4114",1,12,5,1.43166963133741,"BL","DGTS-32:1"
"4115",1,12,5,8.97588661918564,"BL","DGCC-30:0"
"4116",1,12,5,0.857810753210204,"BL","DGTA-30:1"
"4117",1,12,5,0.748329992925425,"BL","DGCC-28:0"
"4118",1,12,5,0.828283399173523,"BL","DGCC-36:6"
"4119",1,12,5,0.921402583206267,"BL","DGCC-38:6"
"4120",1,12,5,0.895404700499003,"BL","DGTS-28:0"
"4121",1,12,5,99.7308367692764,"BL","DGCC-32:0"
"4122",1,12,5,2.15033051107235,"BL","DGTA-30:0"
"4123",1,12,5,2.03320884949732,"BL","DGTS-30:0"
"4124",1,12,5,1.30571786668187,"BL","DGTA-28:0"
"4125",1,12,5,1.0496357583371,"BL","DGTS-30:1"
"4126",1,12,5,0.926462804696522,"BL","DGTS-34:0"
"4127",1,12,5,1.79016982680408,"BL","DGTS-32:0"
"4128",1,12,5,4.62667707655036,"DGDG","DGDG-36:0"
"4129",1,12,5,72.5123469618521,"DGDG","DGDG-28:0"
"4130",1,12,5,8.05680719994038,"DGDG","DGDG-32:5"
"4131",1,12,5,116.760127358801,"DGDG","DGDG-30:0"
"4132",1,12,5,6.79349082739866,"DGDG","DGDG-34:1"
"4133",1,12,5,36.7337858511687,"DGDG","DGDG-34:0"
"4134",1,12,5,1.72810511847857,"DGDG","DGDG-34:4"
"4135",1,12,5,124.429628639834,"DGDG","DGDG-32:0"
"4136",1,12,5,10.453255809666,"DGDG","DGDG-32:4"
